Time,GPS_X,GPS_Y,GPS_Z,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Pos_X,Pos_Y,Vel_X,Vel_Y,Speed,Direction
3.89,205.53555855153687,-5.500006981185017,0.525504991352005,-0.904696597826667,-4.6127542334252486e-05,9.770425077448373,-3.310507448813111e-06,-0.0018218703985744366,-1.5632646370753422e-07,211.44865609947914,-5.630923071656479,5.864938079243629,-0.13498330594622526,5.866491214196619,-1.4429469257665752
3.9,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9042679103742843,-4.644280774480188e-05,9.771390754541258,-2.774067103403145e-06,-0.0017993118967231305,-1.1398704846860696e-07,211.50726026687607,-5.632272907038082,5.855895400139886,-0.1349837703743027,5.857450943511515,-1.4429469910763433
3.91,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9038544824714954,-4.6610313814816475e-05,9.772310254376297,-2.2403618894844274e-06,-0.0017712895755431653,-7.171722785694589e-08,211.56577402815336,-5.633622747072341,5.846856855315171,-0.13498423647744084,5.8484148134895,-1.4429470321672881
3.92,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9034571989213606,-4.663260808896706e-05,9.773182052963516,-1.7111345268823819e-06,-0.0017381002967866523,-2.9655481165587855e-08,211.62419742384654,-5.634972591768745,5.837822283325957,-0.13498470280352173,5.839382662721125,-1.4429470491586274
3.93,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9030768559422979,-4.651299395722075e-05,9.774004848156324,-1.1880680912793105e-06,-0.001700048130546986,1.2063265757583133e-08,211.682530492837,-5.636322441122431,5.828791514766534,-0.1349851679334613,5.830354321838114,-1.442947042246885
3.94,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9027141611321913,-4.625518747961999e-05,9.77477755586922,-6.727804305137919e-07,-0.0016574430343261508,5.330694816108192e-08,211.7407732722766,-5.637672295114525,5.819764373155212,-0.1349856304853361,5.821329614399463,-1.4429470117042538
3.95,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9023697345404657,-4.5863365706170734e-05,9.77549930601265,-1.668178970086919e-07,-0.0016105995585778486,9.394664631726835e-08,211.79892579752143,-5.6390221537125464,5.810740675809807,-0.13498608911899315,5.81230835776684,-1.4429469578767904
3.96,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9020441099375914,-4.534215235334986e-05,9.77616943766485,3.283500414781442e-07,-0.0015598355838693388,1.338570426776866e-07,211.85698810207404,-5.6403720168708436,5.801720234710431,-0.13498654254051667,5.803290363967282,-1.4429468811823543
3.97,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9017377355379818,-4.469665702360389e-05,9.776787493630438,8.113367792764767e-07,-0.001505471093630636,1.7291746599492236e-07,211.91496021753437,-5.641721884531082,5.792702857355051,-0.1349869895070869,5.7942754405486765,-1.4429467821079442
3.98,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9014509762972617,-4.3932432170803415e-05,9.777353214742705,1.2808427835811103e-06,-0.0014478269828652843,2.110124394100282e-07,211.97284217355912,-5.643071756622774,5.783688347592078,-0.1349874288314086,5.785263391412261,-1.442946661206722
3.99,205.53555855153687,-5.500006981185017,0.525504991352005,-0.9011841160133364,-4.305529466006356e-05,9.777866533634342,1.735659737000738e-06,-0.001387223906173654,2.4803130378477517e-07,212.03063399782923,-5.644421633063853,5.774676506431945,-0.1349878593843552,5.776254017624071,-1.442946519095253
4.0,208.313833897527,-5.500009920885174,0.5272149804049441,-0.9009373578068421,-4.207149270411249e-05,9.778327567566935,2.1746747235164123e-06,-0.0013239811728595655,2.8386962377351967e-07,208.45108112478135,-5.505310057280493,3.4874814554598417,-0.047010584187998125,3.4877982879177507,-1.3497279760660135
4.01,208.313833897527,-5.500009920885174,0.5272149804049441,-0.9007108278748899,-4.098744582929686e-05,9.778736611711262,2.5968726790328176e-06,-0.0012584156826021071,3.1842823361148497e-07,208.48591090379455,-5.505780165171745,3.4784743471810926,-0.047010994062456415,3.478792005504162,-1.3497277936200747
4.0200000000000005,208.313833897527,-5.500009920885174,0.5272149804049441,-0.9005045779121518,-3.9809932232613544e-05,9.779094131652993,3.0013394554591025e-06,-0.0011908409081783447,3.5161459957016987e-07,208.52065062203746,-5.5062502771028665,3.469469301401971,-0.04701139216177874,3.469787789528874,-1.349727592159749
4.03,208.313833897527,-5.500009920885174,0.5272149804049441,-0.9003185866541151,-3.854597637688077e-05,9.779400755302131,3.387264029380168e-06,-0.0011215659298891689,3.833432758478587e-07,208.55530029912214,-5.506720392951784,3.46046611553543,-0.04701177762154251,3.460785437441045,-1.3497273725202308
4.04,208.313833897527,-5.500009920885174,0.5272149804049441,-0.900152762915626,-3.720261016195535e-05,9.77965726489662,3.7539389559673287e-06,-0.0010508945193871643,4.1353456163170844e-07,208.58985995263936,-5.50719051258813,3.4514645879062735,-0.04701214964764413,3.451784747603117,-1.34972713558238
4.05,208.313833897527,-5.500009920885174,0.5272149804049441,-0.9000069496680563,-3.578718431948181e-05,9.779864588966056,4.10076258553903e-06,-0.0009791242721389948,4.4211655268422446e-07,208.62432959817093,-5.5076606358739655,3.4424645184095928,-0.04701250751948732,3.4427855199492545,-1.3497268822682549
4.0600000000000005,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8998809251920343,-3.430714921285652e-05,9.78002379336818,4.427238785458941e-06,-0.0009065457973154715,4.690249374724189e-07,208.65870924930877,-5.508130762664518,3.4334657091576726,-0.047012850590979455,3.4337875566322227,-1.3497266135367607
4.07,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8997744074523016,-3.2769968801553857e-05,9.780136072896411,4.732976847413433e-06,-0.0008334419581605562,4.942029384024542e-07,208.69299891767997,-5.508600892808926,3.4244679650831498,-0.04701317829066747,3.4247906626265086,-1.3497263303793348
4.08,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8996870568519678,-3.11830379322357e-05,9.780202742350204,5.017689809767741e-06,-0.0007600871678802307,5.176002796674768e-07,208.72719861297796,-5.509071026150984,3.41547109451463,-0.047013490121046796,3.4157946463038917,-1.3497260338162198
4.09,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8996184799297655,-2.9553943137205876e-05,9.780225227730115,5.281194869241424e-06,-0.0006867467392074684,5.391755759978619e-07,208.76130834299911,-5.509541162529891,3.406474909715332,-0.04701378566047817,3.4067993199720776,-1.3497257248913705
4.1,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8995682316857467,-2.78900378163744e-05,9.780205057002169,5.523409840473383e-06,-0.0006136762917680358,5.588942537264968e-07,208.7953281136847,-5.510011301780999,3.397479227398475,-0.04701406456085633,3.3978045003900195,-1.3497254046685512
4.11,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8995358201983412,-2.6198612842283698e-05,9.780143851385223,5.744351254336036e-06,-0.0005411212114949245,5.767289910143531e-07,208.82925792916768,-5.510481443736539,3.3884838691964916,-0.04701432654698475,3.388810009237091,-1.3497250742271802
4.12,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8995207091912555,-2.4486965559961842e-05,9.78004331616671,5.944132266706879e-06,-0.0004693161670761279,5.926609485092056e-07,208.86309779182417,-5.510951588226357,3.379488662104579,-0.04701457141664035,3.3798156735566054,-1.34972473465747
4.13,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8995223218535661,-2.2762224597247555e-05,9.779905231769467,6.12295886024588e-06,-0.0003984846807489813,6.066794430285757e-07,208.89684770232913,-5.511421735078634,3.3704934388860432,-0.04701479903888633,3.370821326161108,-1.3497243870557538
4.14,208.313833897527,-5.500009920885174,0.5272149804049441,-0.899540044335535,-2.1031132070258764e-05,9.77973144490956,6.281124979411569e-06,-0.00032883875270276744,6.187798596025674e-07,208.93050765971577,-5.511891884120579,3.361498038442688,-0.047015009350207033,3.3618268060026884,-1.3497240325210098
4.15,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8995732288628839,-1.930046368968073e-05,9.779523859674121,6.419010146210801e-06,-0.00026057854028985504,6.289662660794059e-07,208.96407766143875,-5.5123620351791045,3.352502306154059,-0.04701520235484393,3.352831958512199,-1.3497236721498846
4.16,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8996211978226997,-1.757657230472829e-05,9.77928442893899,6.537073407625534e-06,-0.00019389208881464756,6.372493860230448e-07,208.9975577034404,-5.5128321880814815,3.3435060941758317,-0.04701537812056698,3.343836635897565,-1.3497233070328816
4.17,208.313833897527,-5.500009920885174,0.5272149804049441,-0.8996832464155624,-1.586547624554114e-05,9.779015145701656,6.635848343931603e-06,-0.00012895511548758904,6.436460426679544e-07,209.03094778021986,-5.513302342655961,3.334509261711676,-0.04701553677532943,3.334840697415578,-1.349722938250864
